customer_ID,Contact_Last_Name,Contact_First_Name,City,State,Age,Marital_Status,Gender,Number_Of_Dependents,Risk_Score,total_asset,Retirement_asset,Engagement_Type,Frequency
1,Chaney,Jemima,Lexington,Kentucky,65,Married,Male,0,2.833333333,3715898.035,1115144.91,In Writing,Monthly
2,Collins,Colt,Boston,Massachusetts,65,Married,Male,0,4,7230893.28,583893.77,No Contact,Daily
3,Crawford,Glenna,Milwaukee,Wisconsin,65,Unknown,Male,0,3,5871862.672,2371444.61,No Contact,No Contact
4,Fisher,Sophia,Salem,Oregon,65,Married,Female,0,2.833333333,12741881.26,4363542.14,No Contact,Monthly
5,Gonzales,Evan,Olympia,Washington,65,Married,Female,0,2.833333333,8836556.789,3260135.92,No Contact,Daily
6,Jimenez,John,South Bend,Indiana,65,Married,Female,0,2.833333333,8818253.122,1609654.18,In Person,Daily
7,Johns,Cody,Lakewood,Colorado,65,Married,Female,0,2.833333333,12594318.24,4176491.90,In Writing,Yearly
8,Kline,Hoyt,Springfield,Massachusetts,65,Married,Female,0,2.833333333,8972242.157,4198395.80,In Writing,Quaterly
9,Mclaughlin,Astra,Harrisburg,Pennsylvania,65,Married,Female,0,2.833333333,6891288.206,2381561.40,In Person,Daily
10,Meadows,Wanda,Seattle,Washington,65,Unknown,Female,0,2.833333333,10415330.17,2908573.82,In Person,Quaterly
11,Valencia,Walker,Philadelphia,Pennsylvania,65,Married,Female,0,2.833333333,15315636.02,7218634.92,Phone,No Contact
12,Wilkins,Quon,Bellevue,Washington,65,Married,Female,0,2.833333333,6102185.731,544657.65,Phone,Yearly
13,Barnes,Cameran,Columbia,Maryland,65,Unknown,Male,0,3,4032497.56,1029702.75,Phone,Daily
14,Bradford,Cassidy,Annapolis,Maryland,65,Married,Male,0,2.714285714,7437944.467,4266918.99,Email,Monthly
15,Brennan,Reece,Sacramento,California,65,Married,Male,0,3.166666667,9641569.766,4828385.20,No Contact,Daily
16,Burt,Alan,Rockford,Illinois,65,Divorced,Male,0,3.2,2065616.904,40769.04,Email,Yearly
17,Ferrell,April,Owensboro,Kentucky,65,Single,Male,0,3.875,3577264.049,920130.31,No Contact,No Contact
18,Fry,Ursa,New Orleans,Louisiana,65,Divorced,Male,0,2.857142857,3531439.964,824304.62,Email,No Contact
19,Fuller,Whilemina,Waterbury,Connecticut,65,Single,Male,0,2.833333333,1538192.074,714863.26,Email,Yearly
20,Hendrix,Mariko,Harrisburg,Pennsylvania,65,Married,Male,0,2.625,10692502.7,4854999.05,No Contact,No Contact
21,Hopper,Melissa,San Diego,California,65,Married,Male,5,2.857142857,11177739.58,4808138.65,Email,Monthly
22,Lane,Amery,Spokane,Washington,65,Married,Male,5,2.285714286,8818925.482,3371163.49,In Writing,Monthly
23,Lawson,Victor,Portland,Oregon,65,Divorced,Male,5,3.5,4625307.024,2054530.19,No Contact,Daily
24,Lowery,Nero,Reno,Nevada,65,Divorced,Male,5,2.857142857,2064520.432,458068.83,Phone,No Contact
25,Pruitt,Brenna,Orlando,Florida,65,Divorced,Male,5,3.142857143,2756811.72,972565.15,Phone,Quaterly
26,Sellers,Martha,Reading,Pennsylvania,65,Divorced,Male,5,3.714285714,2291281.044,202031.86,Phone,No Contact
27,Shaffer,Felicia,Duluth,Minnesota,65,Married,Male,5,2.428571429,5311702.157,626480.52,No Contact,Quaterly
28,Valencia,Vaughan,Baton Rouge,Louisiana,65,Divorced,Male,5,3,4096194.7,1588896.40,In Writing,Yearly
29,Warren,Ariel,South Bend,Indiana,65,Single,Male,5,3.428571429,3950822.117,2072552.60,Phone,Daily
30,Whitaker,Mari,Cambridge,Massachusetts,65,Married,Male,5,2.714285714,7905732.432,4081511.62,In Person,Daily
31,George,Naida,Gary,Indiana,65,Single,Unknown,5,2,7270597.386,3319653.64,In Writing,Daily
32,Barnett,Caryn,Lowell,Massachusetts,65,Single,Male,1,3,6484030.862,3477283.43,In Person,No Contact
33,Boyle,Haley,Hartford,Connecticut,65,Married,Male,1,2.714285714,4445822.534,1420399.72,In Writing,Quaterly
34,Byers,Justin,Evansville,Indiana,65,Unknown,Male,1,3.375,5410372.344,2291864.64,No Contact,Monthly
35,Copeland,Germane,Jacksonville,Florida,65,Married,Male,1,2.5,5486040.019,1494970.71,Phone,No Contact
36,David,Keane,Worcester,Massachusetts,65,Single,Female,1,2.5,7526859.865,2031676.17,Phone,No Contact
37,Dunn,Wallace,Miami,Florida,65,Single,Female,1,2.833333333,5157005.022,423744.61,Phone,Yearly
38,Dunn,Abdul,Vancouver,Washington,65,Unknown,Female,1,2.8,6576305.892,1507080.43,In Writing,Daily
39,Hale,Chava,Boston,Massachusetts,65,Unknown,Female,4,2.833333333,9074954.928,2802744.67,In Person,Monthly
40,Perez,Noelle,Columbus,Georgia,65,Married,Female,4,2.833333333,11023735.88,2094380.12,In Person,Daily
41,Pruitt,Boris,Erie,Pennsylvania,65,Unknown,Female,4,3.2,8130725.148,1364127.02,Phone,Quaterly
42,Taylor,Allen,Lowell,Massachusetts,65,Married,Female,4,2.833333333,8715065.112,2371804.53,In Writing,Monthly
43,Wolfe,Ava,Columbia,Maryland,65,Married,Female,4,2.833333333,5815692.418,788561.28,Phone,Yearly
44,Alvarado,Chanda,Salem,Oregon,65,Married,Male,4,2.571428571,5030942.342,2516183.65,In Person,No Contact
45,Anderson,Idona,Lakewood,Colorado,65,Divorced,Male,4,2.625,3035034.548,1940371.89,No Contact,Yearly
46,Bauer,Evelyn,Tallahassee,Florida,65,Divorced,Male,4,3.333333333,3331716.492,1709762.29,Email,Yearly
47,Blake,Grady,Fresno,California,65,Married,Male,4,2.857142857,3605517.552,1957078.66,Email,Yearly
48,Cain,Pascale,Tallahassee,Florida,65,Unknown,Male,4,3.666666667,2631721.144,764404.99,In Person,Daily
